DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;FARMACÊUTICO;40;1;40;;1;;40;0
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO CIRURGIÃO GERAL;12;7;84;;6;;72;-12
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO CIRURGIÃO GERAL NOTURNO;12;7;84;;7;;84;0
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO CLÍNICO;12;25;300;;24;;288;-12
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO CLÍNICO NOTURNO;12;14;168;;13;;156;-12
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO PEDIATRA;12;21;252;;24;;288;36
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;AMA PARELHEIROS ;AMA 24H - ASSISTÊNCIA MÉDICA AMBULATORIAL 24 HORAS;FEV 2020;MÉDICO PEDIATRA NOTURNO;12;14;168;;13;;156;-12
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;CAPS INFANTO JUVENIL II PARELHEIROS;CAPS II INFANTO JUVENIL;FEV 2020;ASSISTENTE SOCIAL;30;2;60;;2;;60;0
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;CAPS INFANTO JUVENIL II PARELHEIROS;CAPS II INFANTO JUVENIL;FEV 2020;AUXILIAR DE ENFERMAGEM;40;4;160;;4;;160;0
REDE ASSISTENCIAL DA STS PARELHEIROS - TA-026/2020;ASSOCIAÇÃO SAÚDE DA FAMÍLIA - ASF;CAPS INFANTO JUVENIL II PARELHEIROS;CAPS II INFANTO JUVENIL;FEV 2020;ENFERMEIRO;40;2;80;;2;;80;0
