DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;OUT 2020;MÉDICO CLÍNICO;12;8;96;;6;;72;-24
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;OUT 2020;MÉDICO CLÍNICO;24;;;;1;;24;24
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;OUT 2020;MÉDICO PEDIATRA;12;6;72;;5;;60;-12
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;OUT 2020;MÉDICO PEDIATRA;24;;;;1;;24;24
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;OUT 2020;ASSISTENTE SOCIAL;30;1;30;;1;;30;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;OUT 2020;EDUCADOR FISICO;30;1;30;;1;;30;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;OUT 2020;MÉDICO PSIQUIATRA;20;1;20;;1;;20;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;OUT 2020;NUTRICIONISTA;40;1;40;;1;;40;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;OUT 2020;PSICÓLOGO;40;2;80;;1;;40;-40
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;AGENTE COMUNITÁRIO DE SAÚDE;40;30;1200;;30;;1200;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;ASSISTENTE SOCIAL;30;2;60;;2;;60;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;AUXILIAR DE SAÚDE BUCAL;40;2;80;;2;;80;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;AUXILIAR DE SAÚDE BUCAL;30;3;90;;3;;90;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;DENTISTA;40;2;80;;2;;80;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;DENTISTA;20;4;80;1;3;;80;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;ENFERMEIRO;30;4;120;;4;;120;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;ENFERMEIRO;40;6;240;;7;;280;40
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;FARMACÊUTICO;44;2;88;;2;;88;0
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;MÉDICO CLÍNICO;10;;;;3;;30;30
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;MÉDICO CLÍNICO;20;3;60;;1;;20;-40
REDE ASSISTENCIAL DA STS VILA MARIA/VILA GUILHERME - TA-032/2020;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;AMA/UBS INTEGRADA JARDIM BRASIL;UBS MISTA;OUT 2020;MÉDICO GENERALISTA;40;5;200;;5;;200;0
