DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAI 2020;MÉDICO CLÍNICO;12;16;192;;8;8;192;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAI 2020;MÉDICO PEDIATRA;12;12;144;;5;7;144;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAI 2020;AGENTE COMUNITÁRIO DE SAÚDE;40;25;1000;;23;;920;-80
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAI 2020;DENTISTA;40;2;80;;2;;80;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAI 2020;ENFERMEIRO;40;6;240;;6;;240;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAI 2020;MÉDICO GENERALISTA;40;5;200;;5;;200;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;MAI 2020;EDUCADOR FISICO;40;1;40;;1;;40;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;MAI 2020;FISIOTERAPEUTA;20;2;40;;2;;40;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;MAI 2020;FONOAUDIÓLOGO;40;1;40;;1;;40;0
REDE ASSISTENCIAL DA STS SÃO MATEUS - TA-026/2020 A TA-029/2020;FUNDAÇÃO DO ABC ;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;NASF - NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA;MAI 2020;NUTRICIONISTA;40;1;40;;1;;40;0
