DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;ASSISTENTE SOCIAL;30;2;60;;2;;60;0
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;ENFERMEIRO;40;1;40;;1;;40;0
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;ENFERMEIRO;36;3;108;;3;;108;0
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;FARMACÊUTICO;36;2;72;;2;;72;0
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;MÉDICO;12;34;408;;10;8;216;-192
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;MÉDICO;8;;;;2;1;24;24
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;MÉDICO;10;;;;2;1;30;30
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;MÉDICO;6;1;6;;;5;30;24
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;MÉDICO;24;;;2;;1;72;72
REDE ASSISTENCIAL DA STS ERMELINO MATARAZZO - TA-028/2020 A TA-030/2020 E TA-032/2020 A TA-033/2021;SECONCI - SERVIÇO SOCIAL DA CONSTRUÇÃO CIVIL DO ESTADO DE SÃO PAULO;AMA ESPECIALIDADES BURGO PAULISTA;AMA - ESPECIALIDADES;NOV 2020;NUTRICIONISTA;40;1;40;;1;;40;0
