DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA BORACEA - DR LUIZ BACCALÁ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;SET 2020;MÉDICO CLÍNICO;12;12;144;;;;;-144
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA BORACEA - DR LUIZ BACCALÁ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;SET 2020;MÉDICO PEDIATRA;12;6;72;;;;;-72
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA COMPLEXO PRATES;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;SET 2020;MÉDICO CLÍNICO;12;14;168;;;;;-168
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO ANGIOLOGISTA;12;4;48;;;;;-48
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO CARDIOLOGISTA;12;7;84;;;;;-84
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO DERMATOLOGISTA;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO ENDOCRINOLOGISTA;12;6;72;;;;;-72
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO GINECOLOGISTA E OBSTETRA;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO INFECTOLOGISTA;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO MASTOLOGISTA;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO NEFROLOGISTA;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO NEUROLOGISTA;12;5;60;;;;;-60
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO NEUROLOGISTA PEDIÁTRICO;12;1;12;;;;;-12
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO OFTALMOLOGISTA;12;3;36;;;;;-36
REDE ASSISTENCIAL DA STS SÉ - CENTRO - TA-038/2020 A TA-041/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA ESPECIALIDADES DR HUMBERTO PASCALE SANTA CECÍLIA;AMA - ESPECIALIDADES;SET 2020;MÉDICO ORTOPEDISTA E TRAUMATOLOGISTA;12;12;144;;;;;-144
