ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;84.0;84.0;84.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R005-2015;AMA ESPECIALIDADES VILA DAS MERCÊS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R005-2015;AMA SACOMÃ;ABR 2020;252.0;252.0;252.0;0;0;1.0;1.0
R005-2015;AMA SACOMÃ;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R005-2015;AMA SACOMÃ;ABR 2020;168.0;168.0;252.0;-84;0;0.6666666666666666;0.6666666666666666
R005-2015;AMA SACOMÃ;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R005-2015;AMA SACOMÃ;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R005-2015;AMA SACOMÃ;ABR 2020;240.0;240.0;276.0;-36;0;0.8695652173913043;0.8695652173913043
R005-2015;AMA SACOMÃ;ABR 2020;180.0;168.0;168.0;12;12;1.0714285714285714;1.0
R005-2015;AMA SACOMÃ;ABR 2020;216.0;216.0;216.0;0;0;1.0;1.0
R005-2015;AMA SACOMÃ;ABR 2020;180.0;168.0;168.0;12;12;1.0714285714285714;1.0
R005-2015;AMA SANTA CRUZ;ABR 2020;204.0;204.0;216.0;-12;0;0.9444444444444444;0.9444444444444444
R005-2015;AMA SANTA CRUZ;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R005-2015;AMA SANTA CRUZ;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;60.0;60.0;96.0;-36;0;0.625;0.625
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;960.0;960.0;960.0;0;0;1.0;1.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R005-2015;AMA/UBS INTEGRADA AMERICANÓPOLIS;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
